michael
17b9e1c64588c7fa6419b4d29dc1f4426279ba01
PRINTMAP michael
https://en.wikipedia.org/wiki/Bernadette_Rostenkowski => 9.925279815308922
https://en.wikipedia.org/wiki/Amy_Farrah_Fowler => 9.925285169458778
https://en.wikipedia.org/wiki/Stuart_Bloom => 9.925285993294239
https://en.wikipedia.org/wiki/List_of_The_Big_Bang_Theory_characters#Emily_Sweeney => 9.925302476732572
http://en.wikipedia.org/wiki/Ariana_Grande => 9.934750675861064
https://en.wikipedia.org/wiki/Janis_Joplin#Early_life:_1943.E2.80.9361 => 9.936953053739431
https://en.wikipedia.org/wiki/Barack_Obama_presidential_campaign,_2008 => 9.950498901517122
http://en.wikipedia.org/wiki/Jose_Canseco => 9.97049130967342
https://en.wikipedia.org/wiki/Red_states_and_blue_states => 9.975364942639072
https://en.wikipedia.org/wiki/Israeli_Declaration_of_Independence => 9.999498684106884
http://www.ranker.com/review/matt-damon/1543338?ref=name_1929237 => 10.029825232276393
http://www.ranker.com/review/matt-damon/1543338?ref=name_1769469 => 10.02997390477076
http://www.ranker.com/review/matt-damon/1543338?ref=name_894906 => 10.02997390477076
http://en.wikipedia.org/wiki/Maxwell_(musician) => 10.033618929421902
https://en.wikipedia.org/w/index.php?title=Mayim_Bialik&oldid=782667401 => 10.055865788215371
https://en.wikipedia.org/wiki/Mayim_Bialik => 10.059137602223446
https://en.wikipedia.org/wiki/Blind_Willie_Johnson => 10.082191435921812
http://www.mirror.co.uk/news/uk-news/manchester-arena-bombing-victim-eilidh-10496146#comments-section => 10.092258042540069
https://en.wikipedia.org/wiki/William_Few => 10.100610338160363
http://www.biographyonline.net/people/america/famous-americans.html?replytocom=5299#respond => 10.139208483283284
http://www.biographyonline.net/people/america/famous-americans.html?replytocom=6043#respond => 10.139888287800982
http://www.ranker.com/review/seth-rogen/2007111?ref=name_115786 => 10.147852581637459
http://www.ranker.com/review/seth-rogen/2007111?ref=name_1046365 => 10.147933107291916
http://www.ranker.com/review/michael-caine/142249?ref=name_894906 => 10.168524058897692
http://en.wikipedia.org/wiki/Matt_Robinson_(actor) => 10.193422227854153
https://twitter.com/AbertayUni => 10.195874073880718
http://www.ranker.com/review/cinderella/735985?ref=name_685594 => 10.214159412234517
http://www.ranker.com/review/peter-pan/1787328?ref=name_685594 => 10.27284923276417
http://www.ranker.com/review/michael-keaton/1574747?ref=name_1769469 => 10.27840265430163
http://www.ranker.com/review/michael-keaton/1574747?ref=name_1852083 => 10.27840265430163
http://www.ranker.com/review/alice-in-wonderland/432505?ref=name_685594 => 10.303021091890626
http://www.ranker.com/list/young-nick-offerman-pictures/cari-fortier?ref=collections&pos=27&ltype=l&l=2004781&g=2&collectionId=701 => 10.32397366762593
https://en.wikipedia.org/wiki/Jack_Ketch => 10.328572338035492
http://en.wikipedia.org/wiki/Dr._Nick => 10.331784174597667
http://www.ranker.com/review/james-mcavoy/1262870?ref=name_1871396 => 10.337209801746297
http://www.ranker.com/list/list-of-all-tragedy-movies/reference?ref=text_rank&pos=4&a=0&ltype=n&l=883188 => 10.34339960444633
http://www.ranker.com/list/gay-celebrities-who-came-out-in-the-2000s/celebrity-lists?ref=rltdlsts&pos=1&a=4&ltype=l&l=117604&g=2 => 10.41780380803628
http://www.ranker.com/list/gay-celebrities-who-came-out-in-the-2000s/celebrity-lists?ref=rltdlsts&pos=7&a=40&ltype=l&l=2566503&g=2 => 10.41780380803628
http://www.ranker.com/list/celebrities-arrested-in-foreign-countries/celebrity-lists?ref=collections&pos=38&ltype=l&l=2293339&g=2&collectionId=1206 => 10.4190535667622
